Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75
k54_ecoli_200X_noerr_1-contigs	282	96	79	69	53	34	4623282	4596003	4551871	4477941	4231870	3580844	101	270460	4599170	4641652	50.77	50.79	95957	95957	55882	53790	16	16	32	33	0	0	0	1	0	0 + 0 part	0	98.635	1.005	0.02	1.97	0.11	270460	4599170	95957	95957	55882	53790	16	16	32	33
k60_ecoli_200X_noerr_1-contigs	267	92	75	66	53	33	4628281	4600518	4556018	4489296	4289420	3610123	98	328378	4604620	4641652	50.77	50.79	106366	106366	55987	55987	15	15	31	31	0	0	0	1	0	0 + 0 part	0	98.725	1.005	0.00	1.90	0.07	328378	4604620	106366	106366	55987	55987	15	15	31	31
k66_ecoli_200X_noerr_1-contigs	254	92	74	66	53	33	4628799	4600705	4551804	4490173	4289827	3611538	98	327790	4605234	4641652	50.77	50.79	106378	106378	55993	55993	15	15	31	31	0	0	0	1	0	0 + 0 part	0	98.752	1.005	0.00	1.99	0.02	327790	4605234	106378	106378	55993	55993	15	15	31	31
k72_ecoli_200X_noerr_1-contigs	245	89	72	64	51	32	4635698	4606566	4557451	4495235	4293636	3655524	94	327796	4610487	4641652	50.78	50.79	113967	112701	58833	58833	14	15	29	29	0	0	0	1	0	0 + 0 part	0	98.868	1.005	0.00	2.20	0.02	327796	4610487	113967	112701	58833	58833	14	15	29	29
k78_ecoli_200X_noerr_1-contigs	237	89	73	65	52	32	4634514	4604647	4556841	4494467	4293278	3625720	95	327797	4609083	4641652	50.77	50.79	113390	106402	58833	58233	14	15	29	30	0	0	0	0	0	0 + 0 part	0	98.845	1.005	0.00	1.81	0.00	327797	4609083	113390	106402	58833	58233	14	15	29	30
k84_ecoli_200X_noerr_1-contigs	220	88	71	65	52	32	4632905	4604908	4556553	4509212	4307759	3624296	95	327797	4609714	4641652	50.78	50.79	113390	106418	58239	58239	14	15	30	30	0	0	0	0	0	0 + 0 part	0	98.895	1.004	0.00	1.92	0.02	327797	4609714	113390	106418	58239	58239	14	15	30	30
k90_ecoli_200X_noerr_1-contigs	197	82	66	60	51	29	4637271	4611744	4567611	4523342	4386932	3649938	87	327797	4615659	4641652	50.77	50.79	133670	133670	60310	59186	13	13	26	27	0	0	0	0	0	0 + 0 part	0	98.935	1.005	0.00	1.89	0.00	327797	4615659	133670	133670	60310	59186	13	13	26	27
k96_ecoli_200X_noerr_1-contigs	184	82	66	60	51	30	4639941	4616917	4570676	4526748	4390311	3685785	85	327797	4619130	4641652	50.77	50.79	133670	133670	59186	59186	14	14	27	27	0	0	0	0	0	0 + 0 part	0	98.953	1.006	0.00	2.53	0.04	327797	4619130	133670	133670	59186	59186	14	14	27	27
k102_ecoli_20X_noerr_2-contigs	687	492	276	162	29	4	4588428	4524123	3946183	3107297	1075453	246934	531	71898	4554044	4641652	50.74	50.79	14645	14420	8242	7833	94	97	196	204	0	0	0	0	0	0 + 0 part	0	98.005	1.001	0.00	0.20	0.02	71898	4554044	14645	14420	8242	7833	94	97	196	204
k108_ecoli_20X_noerr_2-contigs	896	658	326	139	13	1	4586706	4489430	3606601	2254292	429024	62345	736	62345	4548396	4641652	50.74	50.79	9928	9665	5946	5635	141	146	291	303	0	0	0	0	0	0 + 0 part	0	97.832	1.002	0.00	0.20	0.00	62345	4548396	9928	9665	5946	5635	141	146	291	303
k114_ecoli_20X_noerr_2-contigs	1374	975	308	80	1	0	4582207	4378636	2702260	1101656	27034	0	1165	27034	4521117	4641652	50.74	50.79	6278	6188	3255	3050	230	239	478	506	0	0	0	0	0	0 + 0 part	0	97.135	1.003	0.00	0.20	0.00	27034	4521117	6278	6188	3255	3050	230	239	478	506
k120_ecoli_20X_noerr_2-contigs	1743	1212	251	34	0	0	4570099	4280352	1904669	421373	0	0	1495	20451	4491046	4641652	50.75	50.79	4324	4224	2504	2348	325	343	667	714	0	0	0	1	0	0 + 0 part	0	96.234	1.005	0.91	0.34	0.02	20451	4491046	4324	4224	2504	2348	325	343	667	714
k126_ecoli_20X_noerr_2-contigs	4203	1576	14	0	0	0	4329498	2886955	79336	0	0	0	2962	7288	3892395	4641652	50.74	50.79	1548	1323	984	708	820	1082	1609	2278	1	1	971	1	0	0 + 0 part	0	83.396	1.006	0.49	0.78	0.08	7288	3892395	1548	1323	984	707	820	1082	1609	2279
k30_ecoli_20X_noerr_2-contigs	1231	371	246	144	45	8	4579030	4495497	4154699	3372873	1806238	517969	396	107909	4513768	4641652	50.74	50.79	20565	19870	9887	9555	65	68	146	156	0	0	0	0	0	0 + 0 part	0	97.170	1.001	1.09	0.55	0.02	107909	4513768	20565	19870	9887	9555	65	68	146	156
k36_ecoli_20X_noerr_2-contigs	944	298	213	146	56	13	4581084	4510246	4294147	3785093	2353665	862567	319	107992	4525531	4641652	50.75	50.79	26165	25445	13832	12840	53	55	113	120	0	0	0	0	0	0 + 0 part	0	97.421	1.001	0.40	0.53	0.02	107992	4525531	26165	25445	13832	12840	53	55	113	120
